date,outdoor_temperature,outdoor_humidity,indoor_temperature,indoor_humidity
2021-07-12 00:00:00,19,46.89,20.83,32.708
2021-07-12 01:00:00,12,57.06,20.83,32.708
2021-07-12 02:00:00,15,47.7,20.83,32.708
2021-07-12 03:00:00,23,56.34,20.83,32.708
2021-07-12 04:00:00,15,56.16,20.83,32.708
2021-07-12 05:00:00,17,45.64,20.83,32.708
2021-07-12 06:00:00,17,68.58,20.83,32.708
2021-07-12 07:00:00,14,62.18,20.83,32.708
2021-07-12 08:00:00,14,56.01,20.83,32.708
2021-07-12 09:00:00,18,50.63,20.83,32.708
2021-07-12 10:00:00,19,62.26,20.83,32.708
2021-07-12 11:00:00,20,58.86,20.83,32.708
2021-07-12 12:00:00,22,49.56,20.83,32.708
2021-07-12 13:00:00,23,59.93,20.83,32.708
2021-07-12 14:00:00,18,63.62,20.83,32.708
2021-07-12 15:00:00,15,58.24,20.804,32.708
2021-07-12 16:00:00,8,62.81,19.969,32.708
2021-07-12 17:00:00,6,62.34,19.969,32.708
2021-07-12 18:00:00,19,68.08,19.969,32.708
2021-07-12 19:00:00,23,65.79,19.969,32.708
2021-07-12 20:00:00,19,62.18,19.969,32.708
2021-07-12 21:00:00,23,44.35,19.969,32.708
2021-07-12 22:00:00,21,44.4,19.969,32.708
2021-07-12 23:00:00,21,60.93,20.4,32.708
2021-07-13 00:00:00,20,66.32,20.83,32.708
2021-07-13 01:00:00,13,57.3,20.83,32.708
2021-07-13 02:00:00,16,62.59,20.83,32.708
2021-07-13 03:00:00,24,69.81,20.83,32.708
2021-07-13 04:00:00,16,47.47,20.83,32.708
2021-07-13 05:00:00,18,58.68,20.83,32.708
2021-07-13 06:00:00,18,60.34,20.83,32.708
2021-07-13 07:00:00,15,59.98,20.83,32.708
2021-07-13 08:00:00,15,65.84,20.83,32.708
2021-07-13 09:00:00,19,64.33,20.83,27.544
2021-07-13 10:00:00,20,65.52,20.83,25.822
2021-07-13 11:00:00,21,54.43,20.83,25.822
2021-07-13 12:00:00,23,67.27,20.83,25.822
2021-07-13 13:00:00,24,64.92,20.322,25.822
2021-07-13 14:00:00,19,44.08,20.314,25.822
2021-07-13 15:00:00,16,68.2,20.314,25.822
2021-07-13 16:00:00,9,45.69,20.314,25.822
2021-07-13 17:00:00,7,58.76,20.314,25.822
2021-07-13 18:00:00,20,62.25,20.314,25.822
2021-07-13 19:00:00,24,44.57,20.314,25.822
2021-07-13 20:00:00,20,48.01,20.314,25.822
2021-07-13 21:00:00,24,68.34,20.314,25.822
2021-07-13 22:00:00,22,62.43,20.314,25.822
2021-07-13 23:00:00,22,66.46,20.46,25.822
2021-07-14 00:00:00,13,69.54,21.691,25.822
2021-07-14 01:00:00,6,64.96,21.691,27.544
2021-07-14 02:00:00,9,65.02,21.691,30.126
2021-07-14 03:00:00,17,50.63,21.691,30.126
2021-07-14 04:00:00,9,59.2,21.691,30.126
2021-07-14 05:00:00,11,57.16,21.691,30.126
2021-07-14 06:00:00,11,62.28,21.691,30.126
2021-07-14 07:00:00,8,58.38,21.691,30.126
2021-07-14 08:00:00,8,69.48,21.691,30.126
2021-07-14 09:00:00,12,51.62,20.228,30.126
2021-07-14 10:00:00,13,44.25,20.228,30.126
2021-07-14 11:00:00,14,45.29,20.228,30.126
2021-07-14 12:00:00,16,49.02,20.228,30.126
2021-07-14 13:00:00,17,49.96,20.228,30.126
2021-07-14 14:00:00,12,44.65,21.691,30.126
2021-07-14 15:00:00,9,65.12,21.691,30.126
2021-07-14 16:00:00,2,49.81,21.691,30.126
2021-07-14 17:00:00,0,52.32,21.691,30.126
2021-07-14 18:00:00,13,60.58,21.691,30.126
2021-07-14 19:00:00,17,45.06,21.691,30.126
2021-07-14 20:00:00,13,54.42,21.691,30.126
2021-07-14 21:00:00,17,57.26,21.691,30.126
2021-07-14 22:00:00,15,60.29,21.691,30.126
2021-07-14 23:00:00,15,63.21,21.691,30.126
2021-07-15 00:00:00,26,64.17,21.691,30.126
2021-07-15 01:00:00,19,46.59,22.982,30.126
2021-07-15 02:00:00,22,57.82,22.982,30.126
2021-07-15 03:00:00,30,63.57,22.982,30.126
2021-07-15 04:00:00,22,48.72,22.982,30.126
2021-07-15 05:00:00,24,61.69,22.982,30.126
2021-07-15 06:00:00,24,56.36,22.999,28.405
2021-07-15 07:00:00,21,50.08,22.999,26.683
2021-07-15 08:00:00,21,63.45,21.949,26.683
2021-07-15 09:00:00,25,68.69,21.949,26.683
2021-07-15 10:00:00,26,55.66,21.949,26.683
2021-07-15 11:00:00,27,63.54,21.949,26.683
2021-07-15 12:00:00,29,52.92,21.691,26.683
2021-07-15 13:00:00,30,67.73,21.691,26.683
2021-07-15 14:00:00,25,61.31,21.691,26.683
2021-07-15 15:00:00,22,55.23,21.691,26.683
2021-07-15 16:00:00,15,66.27,21.691,26.683
2021-07-15 17:00:00,13,67.65,21.691,26.683
2021-07-15 18:00:00,26,46.24,21.691,26.683
2021-07-15 19:00:00,30,65.92,21.691,26.683
2021-07-15 20:00:00,26,66.76,21.691,26.683
2021-07-15 21:00:00,30,52.75,21.691,26.683
2021-07-15 22:00:00,28,52.58,21.691,26.683
2021-07-15 23:00:00,28,64.84,21.691,26.683
2021-07-16 00:00:00,27,51.97,21.691,26.683
2021-07-16 01:00:00,20,62.06,21.691,26.683
