date,steps,minutesVeryActive,minutesSedentary,minutesLightlyActive,minutesFairlyActive,calories,activityCalories,daily_activity,activity_start_time,minutesAsleep,minutesAwake,time_in_bed,efficiency,distance,location,sleep_start_time
12/07/2021,12866,37,672,269,5,3245,1600,running,14:45,507,28,408,88.39979581919654,0.14062,1,23:44:00
13/07/2021,2731,0,907,111,0,2219,467,walking,14:41,491,19,408,84.91835622847304,1.98551,1,23:46:00
14/07/2021,2160,0,1055,72,0,2029,309,resting,08:00,395,18,408,87.0550150362462,3.65184,0,23:31:00
15/07/2021,5725,23,836,150,18,2734,961,running,14:47,386,29,408,87.34834844597893,4.16213,1,23:06:00
16/07/2021,2160,0,1055,72,0,2029,309,resting,08:00,433,16,408,84.78421476648751,4.16213,0,23:06:00
17/07/2021,2731,0,907,111,0,2219,467,walking,14:54,423,28,408,88.35597755526138,1.98551,1,23:08:00
18/07/2021,867,0,1378,34,0,1893,137,resting,08:00,449,22,408,87.55564320789114,1.98551,0,23:18:00
19/07/2021,6525,0,704,280,0,2840,1246,walking,14:48,419,11,408,85.49084987243924,0.63031,1,23:06:00
20/07/2021,9002,14,670,237,20,2836,1229,running,14:51,514,24,408,91.77010538514877,4.74382,1,23:34:00
21/07/2021,2160,0,1055,72,0,2029,309,resting,08:00,439,17,408,86.36362884648662,6.54462,0,23:35:00
22/07/2021,0,0,1440,0,0,1758,0,resting,08:00,447,26,408,86.17866902277217,0.0,0,23:05:00
23/07/2021,0,0,1440,0,0,1758,0,resting,08:00,494,9,408,84.4159176649934,0.0,0,23:48:00
24/07/2021,0,0,1440,0,0,1758,0,resting,08:00,509,12,408,85.38581381100148,0.0,0,23:20:00
25/07/2021,6378,0,1173,241,0,2723,1035,walking,14:42,434,10,408,86.73844627643427,0.0,1,23:43:00
26/07/2021,2160,0,1055,72,0,2029,309,resting,08:00,458,26,408,84.85340099339162,4.637,0,23:45:00
27/07/2021,4839,0,690,202,0,2568,835,walking,14:47,473,22,408,86.56929008462537,3.51807,1,23:25:00
28/07/2021,2280,0,841,90,0,2116,372,resting,08:00,484,9,408,82.1522125181734,3.51807,0,23:47:00
29/07/2021,5419,0,847,204,0,2581,861,walking,14:54,438,22,408,85.52885198236156,1.65762,1,23:32:00
30/07/2021,7149,10,1190,219,21,2857,1153,running,14:46,384,18,408,81.94370738367007,3.93971,1,23:14:00
31/07/2021,6058,0,1119,214,0,2513,886,walking,14:50,435,27,408,84.48851190060964,5.19748,1,23:40:00
01/08/2021,11326,23,757,233,28,3020,1443,running,14:42,425,18,408,82.6305902168138,5.14581,1,23:35:00
02/08/2021,4800,0,1234,206,0,2466,825,walking,14:48,419,16,408,84.33143791851415,3.48975,1,23:19:00
03/08/2021,6058,0,1119,214,0,2513,886,walking,14:51,482,24,408,82.0681573803424,3.48975,1,23:46:00
04/08/2021,5173,0,1229,202,0,2541,829,walking,14:44,452,18,408,81.78273971719766,4.40414,1,23:35:00
05/08/2021,5326,0,876,197,0,2659,851,walking,14:45,496,16,408,84.32654046728958,3.76087,1,23:28:00
06/08/2021,7129,34,1224,157,25,2835,1111,running,14:51,421,15,408,83.97950836734341,7.86987,1,23:46:00
07/08/2021,5326,0,876,197,0,2659,851,walking,14:46,481,12,408,85.52090953638992,5.18278,1,23:28:00
08/08/2021,7388,2,837,212,12,2694,1012,walking,14:48,396,25,408,85.88682905465605,3.87212,1,23:51:00
09/08/2021,5479,0,1226,214,0,2696,967,walking,14:53,493,16,408,81.7494477348197,5.37125,1,23:14:00
10/08/2021,10471,26,657,240,37,3135,1498,running,14:48,481,28,408,85.06021922428197,3.98334,1,23:24:00
11/08/2021,5203,0,718,208,0,2626,863,walking,14:49,387,22,408,84.06591309411112,3.78263,1,23:33:00
12/08/2021,8128,9,884,241,3,2810,1181,running,14:54,384,14,408,86.09448859971043,3.78263,1,23:35:00
13/08/2021,8684,7,1165,257,11,3040,1361,walking,14:54,425,9,408,84.11463978687735,5.93231,1,23:32:00
14/08/2021,5846,12,1222,201,5,2717,973,running,14:48,447,6,408,85.0169529657218,6.31341,1,23:05:00
15/08/2021,8684,7,1165,257,11,3040,1361,walking,14:47,481,12,408,84.41171662821307,4.25015,1,23:13:00
16/08/2021,5613,2,1238,194,6,2495,854,walking,14:46,419,22,408,87.14164769034161,5.49984,1,23:31:00
17/08/2021,0,0,1440,0,0,1758,0,resting,08:00,455,18,408,84.16086399127512,4.08075,0,23:32:00
18/08/2021,6081,6,1256,148,30,2606,913,walking,14:53,430,10,408,88.33786927137102,0.0,1,23:32:00
19/08/2021,8045,7,654,265,14,2847,1254,walking,14:53,411,15,408,82.54530625925673,4.46972,1,23:38:00
20/08/2021,6183,20,1089,154,6,2560,836,running,14:50,514,8,408,83.31211774818526,6.18541,1,23:21:00
21/08/2021,6182,0,682,236,0,2663,1017,walking,14:46,453,29,408,88.6310613282381,4.49518,1,23:17:00
22/08/2021,8045,7,654,265,14,2847,1254,walking,14:44,472,13,408,82.79758456972515,4.49431,1,23:23:00
23/08/2021,5229,4,809,153,6,2419,734,walking,14:50,444,28,408,85.94191407957713,3.83158,1,23:41:00
24/08/2021,3462,0,1210,135,0,2368,592,walking,14:53,438,20,408,87.16305264935674,3.83158,1,23:23:00
25/08/2021,6634,26,852,151,12,2650,906,running,14:54,472,9,408,86.48483112843525,2.51696,1,23:46:00
26/08/2021,5499,0,782,204,0,2617,872,walking,14:51,476,24,408,86.53596284407567,4.82306,1,23:32:00
27/08/2021,8050,27,863,181,3,2814,1067,running,14:44,385,23,408,85.9161913153537,4.05346,1,23:09:00
28/08/2021,5613,2,1238,194,6,2495,854,walking,14:41,464,11,408,84.51049713933809,5.99432,1,23:46:00
29/08/2021,2408,0,1245,121,0,2184,462,walking,14:48,476,15,408,82.70623764259562,5.98671,1,23:38:00
30/08/2021,6757,1,698,254,9,2719,1123,walking,14:52,474,22,408,84.46878159099724,1.7507,1,23:39:00
31/08/2021,5629,0,1223,190,0,2415,787,walking,14:55,463,28,408,84.8036580091417,4.91247,1,23:21:00
01/09/2021,5450,0,652,200,0,2599,880,walking,14:47,430,7,408,85.79885907378599,4.09236,1,23:50:00
02/09/2021,1385,0,1325,77,0,2103,310,resting,08:00,457,6,408,86.35137689086017,5.7369,0,23:37:00
03/09/2021,5450,0,652,200,0,2599,880,walking,14:55,474,28,408,87.45924256567628,1.00693,1,23:37:00
04/09/2021,6477,20,944,181,25,2878,1158,running,14:47,449,10,408,85.56187362160289,3.9622,1,23:49:00
05/09/2021,3576,0,839,151,0,2289,579,walking,14:46,488,10,408,82.31749802999042,4.9803,1,23:08:00
06/09/2021,5666,0,808,188,10,2538,857,walking,14:54,441,20,408,85.18306315106297,5.82534,1,23:33:00
07/09/2021,7569,8,1063,230,12,2721,1089,walking,14:44,434,29,408,84.5848743790272,4.11925,1,23:12:00
08/09/2021,2786,0,1241,127,0,2312,520,walking,14:51,463,18,408,83.06586937870931,5.50283,1,23:49:00
09/09/2021,7324,21,1148,194,10,2834,1138,running,14:41,402,18,408,82.10056820590839,2.0255,1,23:52:00
10/09/2021,3576,0,839,151,0,2289,579,walking,14:50,447,29,408,85.33603010260549,5.59216,1,23:52:00
11/09/2021,6796,10,832,216,2,2749,1092,running,14:49,423,15,408,84.58635173571987,2.59986,1,23:24:00
12/09/2021,3855,0,1216,139,0,2319,605,walking,14:45,514,16,408,82.83612279823484,5.17312,1,23:16:00
13/09/2021,5056,0,707,245,0,2695,1027,walking,14:41,405,25,408,83.36735422074533,4.94202,1,23:26:00
14/09/2021,3855,0,1216,139,0,2319,605,walking,14:44,506,16,408,85.68453557661199,3.67588,1,23:42:00
15/09/2021,3292,0,898,153,0,2317,586,walking,14:41,439,14,408,81.45144301682724,2.80269,1,23:29:00
16/09/2021,8735,16,1193,218,13,2799,1136,running,14:54,458,27,408,85.1174020532618,2.39333,1,23:43:00
17/09/2021,5563,0,887,183,0,2650,841,walking,14:44,454,9,408,88.25747359865103,6.35052,1,23:24:00
18/09/2021,6197,17,1249,162,12,2743,971,running,14:46,526,13,408,84.76635670044926,4.04445,1,23:41:00
19/09/2021,3692,0,1226,151,0,2358,613,walking,14:44,465,22,408,85.16049037450445,4.74434,1,23:32:00
20/09/2021,2913,0,855,137,0,2334,525,walking,14:44,430,8,408,87.77709449666636,2.68421,1,23:09:00
21/09/2021,2913,0,855,137,0,2334,525,walking,14:41,402,20,408,84.56347086031369,7.2361,1,23:51:00
22/09/2021,3149,0,878,162,0,2404,619,walking,14:40,429,15,408,86.54323788215083,4.98473,1,23:13:00
23/09/2021,2913,0,855,137,0,2334,525,walking,14:49,466,25,408,86.51262315243201,2.2894,1,23:42:00
24/09/2021,3184,0,1300,140,0,2304,582,walking,14:51,382,13,408,84.21753907791673,2.11785,1,23:54:00
25/09/2021,7097,19,877,179,4,2712,996,running,14:43,540,17,408,87.85534396659715,4.46595,1,23:11:00
26/09/2021,3184,0,1300,140,0,2304,582,walking,14:50,441,28,408,83.84206229616024,5.59406,1,23:50:00
27/09/2021,7574,0,975,249,0,2715,1125,walking,14:52,460,16,408,86.23661076115559,5.50642,1,23:35:00
28/09/2021,6433,0,833,221,0,2649,971,walking,14:44,489,11,408,82.4900133692831,5.50642,1,23:25:00
29/09/2021,3184,0,1300,140,0,2304,582,walking,14:41,390,10,408,82.45419015789447,4.67691,1,23:52:00
30/09/2021,27,0,1439,1,0,1785,3,resting,08:00,426,21,408,84.96545774385842,2.31476,0,23:22:00
01/10/2021,310,0,1419,21,0,1966,100,resting,08:00,484,29,408,83.59894513442921,0.01962,0,23:20:00
02/10/2021,7407,19,952,200,8,2881,1128,running,14:44,503,25,408,81.75491194025201,0.22538,1,23:32:00
03/10/2021,7676,23,868,178,5,2746,998,running,14:54,400,24,408,85.68297357928775,5.66002,1,23:44:00
04/10/2021,4126,0,1097,163,0,2406,690,walking,14:49,461,19,408,86.53630416104471,5.58056,1,23:29:00
05/10/2021,5008,0,730,157,0,2519,747,walking,14:49,481,27,408,82.55425252263066,2.99968,1,23:27:00
06/10/2021,3778,0,946,170,0,2414,674,walking,14:42,489,17,408,85.58040594927965,3.64094,1,23:32:00
07/10/2021,0,0,1440,0,0,1780,0,resting,08:00,491,28,408,83.96745861825853,2.74676,0,23:43:00
08/10/2021,5110,0,765,235,0,2571,928,walking,14:41,411,28,408,83.72813022617574,0.0,1,23:53:00
09/10/2021,5419,23,772,128,22,2679,909,running,14:47,426,10,408,82.84004058119181,5.01917,1,23:16:00
10/10/2021,3764,0,1179,144,0,2389,604,walking,14:44,463,8,408,83.39992747213675,4.2043,1,23:37:00
11/10/2021,11779,25,661,221,40,3045,1438,running,14:49,420,21,408,85.89781478735658,2.73646,1,23:33:00
12/10/2021,5289,0,1128,178,0,2613,809,walking,14:40,413,12,408,84.31659847647057,8.61744,1,23:38:00
13/10/2021,4605,0,971,181,0,2464,731,walking,14:41,466,11,408,85.71644711960657,3.84522,1,23:35:00
14/10/2021,5110,0,765,235,0,2571,928,walking,14:42,439,18,408,83.97602960189525,3.34794,1,23:42:00
15/10/2021,3230,0,943,152,0,2454,612,walking,14:51,442,18,408,85.60767932339763,2.3483,1,23:54:00
16/10/2021,4992,4,571,149,7,2432,699,walking,14:54,484,16,408,85.38428763750359,2.3483,1,23:33:00
17/10/2021,383,0,1157,19,0,1835,70,resting,08:00,430,19,408,83.86734281085168,3.62922,0,23:20:00
18/10/2021,7379,0,923,261,0,2787,1143,walking,14:51,309,28,408,84.53470757797967,0.27846,1,23:21:00
19/10/2021,5110,0,765,235,0,2571,928,walking,14:54,392,7,408,86.16534368067907,5.3646,1,23:19:00
20/10/2021,6581,0,1183,257,0,2772,1113,walking,14:48,439,11,408,89.18165771234133,3.71501,1,23:08:00
21/10/2021,7472,7,1167,255,11,3121,1404,walking,14:45,472,13,408,80.70135063676032,4.78452,1,23:49:00
22/10/2021,4916,0,1271,157,12,2622,833,walking,14:54,464,7,408,85.06125363525183,5.43235,1,23:28:00
23/10/2021,6385,22,1116,159,24,2815,1031,running,14:45,448,17,408,83.20325454473391,3.57401,1,23:22:00
