timestamps,heart_rate,day,day_name,day_of_year,week_of_year,hour,is_weekday,Anomaly,Anomaly_Score
2021-07-12 00:00:00,64.33333333333333,12,Monday,193,28,0,1,0,1.085817815884737
2021-07-12 01:00:00,64.16666666666667,12,Monday,193,28,1,1,0,1.0497043754240536
2021-07-12 02:00:00,61.416666666666664,12,Monday,193,28,2,1,0,1.0436530871592573
2021-07-12 03:00:00,65.75,12,Monday,193,28,3,1,0,1.0640683011317722
2021-07-12 04:00:00,65.58333333333333,12,Monday,193,28,4,1,0,1.0550923563989243
2021-07-12 05:00:00,66.0,12,Monday,193,28,5,1,0,1.0741600208713082
2021-07-12 06:00:00,64.75,12,Monday,193,28,6,1,0,1.0477681829053884
2021-07-12 07:00:00,64.16666666666667,12,Monday,193,28,7,1,0,1.0938199873512935
2021-07-12 08:00:00,77.58333333333333,12,Monday,193,28,8,1,1,1.2084297794490277
2021-07-12 09:00:00,78.58333333333333,12,Monday,193,28,9,1,1,1.2198236822342885
2021-07-12 10:00:00,73.33333333333333,12,Monday,193,28,10,1,1,1.2972398361287092
2021-07-12 11:00:00,75.5,12,Monday,193,28,11,1,1,1.2247369153563819
2021-07-12 12:00:00,114.33333333333333,12,Monday,193,28,12,1,0,1.0553661680829516
2021-07-12 13:00:00,139.83333333333334,12,Monday,193,28,13,1,1,1.8865288724472857
2021-07-12 14:00:00,140.33333333333334,12,Monday,193,28,14,1,1,1.906434545894605
2021-07-12 15:00:00,117.08333333333333,12,Monday,193,28,15,1,0,1.0122809445486491
2021-07-12 16:00:00,62.333333333333336,12,Monday,193,28,16,1,0,1.086572407775459
2021-07-12 17:00:00,66.33333333333333,12,Monday,193,28,17,1,0,1.1728933009821332
2021-07-12 18:00:00,63.916666666666664,12,Monday,193,28,18,1,0,1.0566169047660803
2021-07-12 19:00:00,62.25,12,Monday,193,28,19,1,0,1.0263178360561385
2021-07-12 20:00:00,62.333333333333336,12,Monday,193,28,20,1,0,1.0232841952745426
2021-07-12 21:00:00,61.0,12,Monday,193,28,21,1,0,1.017288830612411
2021-07-12 22:00:00,63.0,12,Monday,193,28,22,1,0,1.0345579937364293
2021-07-12 23:00:00,61.416666666666664,12,Monday,193,28,23,1,0,1.0649768333778247
2021-07-13 00:00:00,62.083333333333336,13,Tuesday,194,28,0,2,0,1.040593945297122
2021-07-13 01:00:00,66.0,13,Tuesday,194,28,1,2,0,1.0550626072837106
2021-07-13 02:00:00,64.83333333333333,13,Tuesday,194,28,2,2,0,1.01647807861132
2021-07-13 03:00:00,62.25,13,Tuesday,194,28,3,2,0,0.9969167368590522
2021-07-13 04:00:00,62.25,13,Tuesday,194,28,4,2,0,1.0022786201510194
2021-07-13 05:00:00,63.333333333333336,13,Tuesday,194,28,5,2,0,1.0113545966673028
2021-07-13 06:00:00,62.5,13,Tuesday,194,28,6,2,0,1.016195253096274
2021-07-13 07:00:00,62.916666666666664,13,Tuesday,194,28,7,2,0,1.04417888195924
2021-07-13 08:00:00,97.33333333333333,13,Tuesday,194,28,8,2,0,1.1003456536145573
2021-07-13 09:00:00,96.41666666666667,13,Tuesday,194,28,9,2,0,1.087084206648341
2021-07-13 10:00:00,99.0,13,Tuesday,194,28,10,2,0,1.0538263411607163
2021-07-13 11:00:00,99.83333333333333,13,Tuesday,194,28,11,2,0,1.0360002722429524
2021-07-13 12:00:00,111.08333333333333,13,Tuesday,194,28,12,2,0,1.0738884379149183
2021-07-13 13:00:00,108.83333333333333,13,Tuesday,194,28,13,2,0,1.0529082249578656
2021-07-13 14:00:00,105.66666666666667,13,Tuesday,194,28,14,2,0,1.0115800273663336
2021-07-13 15:00:00,111.25,13,Tuesday,194,28,15,2,0,1.0670683846517612
2021-07-13 16:00:00,119.83333333333333,13,Tuesday,194,28,16,2,0,1.0176323899533226
2021-07-13 17:00:00,120.25,13,Tuesday,194,28,17,2,0,1.0250592710822177
2021-07-13 18:00:00,119.91666666666667,13,Tuesday,194,28,18,2,0,1.025078995356536
